Code,Title,Time,Professor
LAW 1802 v00,A Due Process Hearing Simulation: Protecting The Rights of a Student With a Disability,W 11:10a-1:10p,K. Pincus
LAW 1861 v00,A Friend of the Court: Tools for Effective Amicus Advocacy,,
LAW 1849 v00,Abolitionism and the Law Seminar,Th 10:00a-12:00p,S. Cashin
LAW 3166 v00,Access to Reproductive Healthcare Under the Law (How We Got to Dobbs and What’s Next?),,
LAW 1265 v00,Advanced Constitutional Law Seminar: The Creation of the Constitution,,
LAW 168 v00,Advanced Evidence: Supreme Court and the Constitution Seminar,W 5:45-7:45p,P. Rothstein
LAW 1541 v00,Advanced Legal Writing and Practice: National Security Law in the Private Sector,No Meeting Time Defined,T. McSorley
LAW 1852 v00,AI and the Law Seminar: Principles and Problems,,
LAW 1530 v00,Antitrust in Action: Evaluating the Deal and Advising the Board of Directors,F 4:00-7:30p; Sa 10:00a-6:00p; Su 9:00a-12:30p,C. Aronson
LAW 2028 v01,Assisted Reproductive Technologies and the Law,,
LAW 1816 v00,Breaking Privilege: An In-Depth Analysis of Privilege Issues in the Context of Civil Litigation,MTWTh 6:00-10:00p,Ramos/Concannon
LAW 1817 v00,Breaking Privilege: An In-Depth Analysis of Privilege Issues in the Context of Civil Litigation (Week One Teaching Fellows),MTWTh 6:00-10:00p,Ramos/Concannon
LAW 370 v02,Business and Human Rights in the Global Economy,,
LAW 1322 v00,Civil Rights Statutes and the Supreme Court Seminar,M 3:30-5:30p,Gornstein/Srinivasan
LAW 1841 v00,Civil Rights: The Ensuing Pursuit of Justice,,
LAW 004 v00,Constitutional Law I: The Federal System,,
LAW 1881 v00,Constitutional Law: Federal Courts Tackle the Digital World,,
LAW 1538 v00,Constitutional Law: The First and Second Amendments,MTWTh 1:30-4:50p,T. Hardiman
LAW 1512 v00,Constitutional Litigation and the Executive Branch,Th 11:10a-1:10p,Matz/Tolentino
LAW 611 v16,Corporate Compliance in the Financial Sector: Anti-Money Laundering and Counter-Terrorism Financing,MTWTh 9:00a-1:00p,J. Rusch
