Section Content,Course ID,Course Name,Course Limit,Prerequisite,Note,Recommended,Mutually Excluded Courses,Professor_1,Professor_1 Link,Professor_2,Professor_2 Link,Professor_3,Professor_3 Link,Time
"This interactive skills-based course will put students in the roles of counsel and witness in a simulated due process hearing under the Individuals with Disabilities Education Act (“IDEA”).  Due process hearings are similar to bench trials, with opening statements, direct and cross-examination of witnesses and closing arguments, however, they are conducted in front of a hearing officer. The due process hearing in this course involves claims that a public school district has violated the IDEA by: (i) failing to appropriately evaluate and identify a third grade student with a disability; and (ii) failing to provide a “free and appropriate public education” to the student.
Through reading assignments and classroom discussion, the students will become familiar with key provisions of the IDEA, and ethical considerations arising in IDEA proceedings. They will also become familiar with the materials in the Due Process Hearing Packet provided by the instructor and containing everything the students need to create their hearing strategy and conduct the hearing. The students will be assigned to teams and tasked with collaboratively creating a hearing strategy to present their client’s case, and then individually preparing and presenting certain pieces of the case (e.g., opening statement, closing argument, direct and cross-examination of witnesses). The students will not prepare pleadings or any of the written submissions normally involved in due process proceedings.
The hearing will be conducted in phases, to allow for constructive peer and instructor feedback and self-reflection (through discussion and journal entries) after each phase, as follows: Phase 1 Opening statements; Phase 2 Complainant’s case in chief/Respondent’s cross and objections; Phase 3 Respondent’s case in chief/Complainant’s cross and objections; Phase 4 Closing Arguments. At the conclusion of the hearing, the students will discuss the merits of each party’s case, lessons learned, and whether their perspective on ethical considerations raised at the beginning of the course has changed, now that they have “stood in the shoes” of counsel litigating the educational rights of a child with a disability.",LAW 1802 v00,A Due Process Hearing Simulation: Protecting The Rights of a Student With a Disability,Limit: 16,"Prerequisite:
J.D. students must complete the required first-year program prior to enrolling in this course (part-time and interdivisional transfer students may enroll prior to completing Criminal Procedure, Property, or their first-year elective). ","Note:
This course is only open to J.D. students.","Recommended:
Prior or concurrent enrollment in Evidence. ",,Kathryn A. Pincus,https://www.law.georgetown.edu/faculty/?redirect=RzAwMDQ5ODg1,,,,,W 11:10am-1:10pm (1/16 to 4/27)
Cancelled section,LAW 1861 v00,A Friend of the Court: Tools for Effective Amicus Advocacy,,,,,,Alexa L. Gervasi,https://www.law.georgetown.edu/faculty/?redirect=RzAwNTUwNTEz,,,,,
"This seminar will cover the history and present of abolitionist movements in the United States and the role of law in resisting or hastening abolition, mainly of slavery, but also of prisons and policing today. The first half of the course will present a legal history of abolitionism. Students will learn about the founding constitutional accommodations to slavery and the role of the Supreme Court in enforcing those constitutional protections of enslavers prior to the Civil War. They will also learn about the modes of abolitionist resistance to slavery, including freedom suits by enslaved persons and legal challenges on behalf of fugitives as well as abolitionists’ petitions to state and federal legislatures to end slavery. They will read and engage with iconic primary abolitionists texts from the colonial, revolutionary and pre-Civil War eras to understand the moral, constitutional, and political arguments levelled against slavery. They will also read and understand the original intentions of the drafters of the Reconstruction Amendments and engage with their conception of “abolition democracy,” that is, the democratic society they hoped to create to ensure freedom and equality for the formerly enslaved. The second half of the course will engage with abolition now, particularly the legal and social movements for abolition of modern slavery, prisons, and endemically violent policing. Students will read excerpts from signature works on contemporary abolitionism, including key law review articles on prison and policing abolition and on “abolitionist constitutionalism.” They will grapple with the relevance of abolitionist thought to modern aspirations concerning individual freedom, equality, and democracy.
Learning Outcomes: (1) Students will learn about the role of abolitionists and abolitionist thought in shaping American law and guarantees of freedom and equality. (2) Students will demonstrate an ability to produce an original, high quality research paper. (3) Students will demonstrate an ability to give constructive feedback on the work of their peers. (4) Students will engage in critical analysis of the gap between our professed founding ideals of freedom and the reality for historically and presently subordinated persons and develop concrete ideas in their papers on what to do about it.",LAW 1849 v00,Abolitionism and the Law Seminar,Limit: 18,,,,,Sheryll D Cashin,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzIwNTg3,,,,,Th 10:00am-12:00pm (1/16 to 4/27)
"The course will look at the treatment of reproductive rights in early America through the mid-1800’s and to the legalization of abortion. We will examine how we got from Roe v. Wade to Dobbs v. Jackson Women’s Health Care and discuss the legal and practical impact of the Supreme Court’s reversal of Roe, as well as state attempts to ban or restrict abortion. The course will directly address Institutional Learning Objective 8 by requiring students to think critically about the law’s claim to neutrality and its differential effects on subordinated groups, including those identified by race, gender, indigeneity, and class and consider whether one person’s moral or ethical position should prevail when that position has disparate negative impacts on marginalized communities. We will look at how the law is intersecting with issues of race, sex, class, religion, sexual orientation, and politics to shape the culture of the country and our individual lives. The course will conclude with a review of the current legal battles relating to abortion, emergency contraception, assisted reproduction and gender affirming care, and discuss the legal theories at play, which are being used by both sides of the debate in competing iterations.",LAW 3166 v00,Access to Reproductive Healthcare Under the Law (How We Got to Dobbs and What’s Next?),,"Prerequisite:
Constitutional Law.
 ",,,,Molly Ann Meegan,https://www.law.georgetown.edu/faculty/?redirect=RzAwMjc5MDE0,,,,,M 5:45pm-7:45pm (1/16 to 4/27)
"Few events have had as much impact on American history than the framing and ratification of the Constitution.  This seminar is designed to offer students with serious interests in history, political theory, and constitutional law an opportunity to learn more about these events by reading some of the best scholarship on the creation of the Constitution and by writing an original research paper on an appropriate topic of their choosing.  The seminar will examine how the Constitution was framed, ratified, and implemented during both the founding of the Republic and the “Second Founding” during and after the Civil War. Special attention will be given to founding-era controversies involving slavery, federalism, and implied powers, and to how these issues influenced the adoption and interpretation of the Reconstruction Amendments.",LAW 1265 v00,Advanced Constitutional Law Seminar: The Creation of the Constitution,Limit: Varies by section,"Prerequisite:
Constitutional Law I: The Federal System (or Democracy and Coercion).","Note:
J.D. students must register for the 3 credit section of the seminar if they wish to write a paper fulfilling the J.D. Upperclass Legal Writing Requirement. The paper requirements of the two-credit section will not fulfill the J.D. Upperclass Legal Writing Requirement.",,,John Mikhail,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzI1MTQz,,,,,M 3:30pm-5:30pm (1/16 to 4/27)
This seminar examines advanced subjects in evidence that were not treated or not treated in depth in the basic Evidence course but are important to trial practice.,LAW 168 v00,Advanced Evidence: Supreme Court and the Constitution Seminar,Limit: 9,"Prerequisite:
Evidence.",,,,Paul F. Rothstein,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzI1MjYy,,,,,W 5:45pm-7:45pm (1/16 to 4/27)
Cancelled section,LAW 1541 v00,Advanced Legal Writing and Practice: National Security Law in the Private Sector,Limit: 10,"Prerequisite:
Legal Practice: Writing and Analysis.",,,,Thomas Dallas McSorley,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzU0NTgz,,,,,
"The ongoing development of artificial intelligence (AI) technologies poses significant challenges and opportunities that the law must grapple with. This course will explore some of the normative and theoretical questions raised by the use of AI tools in different legal contexts. Topics to be covered include the use of AI as a substitute or guide for professional judgment; the use of AI as part of systems of government enforcement and adjudication; the use of AI by the private sector to predict, manage, and differentiate consumers; and the use of AI to generate texts, sounds, images, and other products. 
Throughout, we will consider the principles at issue in debates over AI in the context of specific case studies of real world AI legal “problems.” We will ask whether existing legal theories and frameworks are up to the task of fostering the beneficial use of AI or whether and where new approaches may be necessary. We will also explore how understanding the marginal costs and benefits associated with AI sheds light on the uses and limitations of unassisted human judgment in the legal system as it currently exists.
No technical background is assumed. 
Learning Objectives: This course is designed for students to improve their understanding of the following: (1) how artificial intelligence works, both in terms of existing technology as well as the pace and nature of its ongoing development; (2) how artificial intelligence is employed by the private and public sectors; (3) the concerns and hopes that these uses raise; (4) the possibilities and limitations of regulatory approaches to managing those concerns and encouraging AI’s benefits; and (5) how to identify what kinds of claims and concerns are driven by realistic assessments of current and near-future technology versus “hype” or ungrounded projections.",LAW 1852 v00,AI and the Law Seminar: Principles and Problems,Limit: Varies by section,,"Note:
This seminar requires a paper. J.D. students must register for the 3 credit section of the seminar if they wish to write a paper fulfilling the Upperclass Legal Writing Requirement. The paper requirements of the 2 credit section will not fulfill the J.D. Upperclass Legal Writing Requirement.",,"Mutually Excluded Courses:
Students may not receive credit for this course and The Law and Ethics of Automation, Artificial Intelligence, and Robotics. ",Daniel Wilf-Townsend,https://www.law.georgetown.edu/faculty/?redirect=RzAwOTg2NzAy,,,,,Th 1:20pm-3:20pm (1/16 to 4/27)
"This intensive one-credit course will take twelve students through a fast-paced, real-life M&A situation with potentially significant antitrust implications over the course of three days. Students will represent a hypothetical client who has received an unsolicited indication of interest from a competitor and have to weigh that offer against alternative transactions presenting less risk. With time of the essence, the students will have to analyze the antitrust implications of the various alternatives and make a recommendation regarding the risks to the client’s Board of Directors. Once the Board makes its decision and the deal is negotiated (with the help of the students in respect of the provisions in the merger agreement with antitrust implications), it will then become their responsibility, as outside counsel for the company, to convince the antitrust authorities that the transaction is not anticompetitive.
Students will be informed of the scenario a few days in advance, and provided with the relevant background materials, in order to be ready for the course. The students will play the role of associates in a firm that is the outside counsel to the company that is the subject of the scenario. The goal of the course is to simulate through this hypothetical M&A scenario, the legal skills needed to guide a client’s strategic and tactical business decisions in a real-life antitrust sensitive situation.
This course will be highly interactive. Working in teams and individually over three class sessions, the students will perform a ""quick and dirty"" antitrust analysis of the alternatives, evaluate/negotiate the antitrust risk shifting provisions in the merger agreement, present the analysis to the Board, and present a Day 1 presentation to the antitrust authorities. The students will be allocated tasks throughout the week as they would in a real life/real time private practice situation. The students will work with a practicing antitrust M&A lawyer from an international New York City firm as the ""partner"" on the matter who will give out assignments, review written material, and otherwise coordinate the team.",LAW 1530 v00,Antitrust in Action: Evaluating the Deal and Advising the Board of Directors,Limit: 10,"Prerequisite:
Corporations.","Note:
This seminar is open to J.D. students only.
ATTENDANCE IS MANDATORY AT ALL CLASS SESSIONS. Enrolled students must be in attendance at the start of the first class session in order to remain enrolled. Waitlisted students must be in attendance at the start of the first class session in order to remain eligible to be admitted off the waitlist. All enrolled students must attend each class session in its entirety. Failure to attend the first class session in its entirety will result in a drop; failure to attend any subsequent class session in its entirety may result in a withdrawal.
Enrolled students will have until the beginning of the second class session to request a drop by contacting the Office of the Registrar; a student who no longer wishes to remain enrolled after the second class session begins will not be permitted to drop the class but may request a withdrawal from an academic advisor in the Office of Academic Affairs. Students may not withdraw from this class after the add/drop period ends without the permission of the professor.
This course is offered on a mandatory pass/fail basis and will not count toward the 7 credit pass/fail limit for J.D. students.
Note: Students should be prepared to dedicate a significant amount of time to this class over the course of the weekend outside of the scheduled class hours.","Recommended:
An antitrust or antitrust and economics course is recommended, but not mandatory.",,Clifford Aronson,https://www.law.georgetown.edu/faculty/?redirect=RzAwMjIzOTEz,,,,,F 4:00pm-7:30pm (3/22)
"This 2 or 3 credit seminar will provide an overview of the underlying and competing laws and policies arising from the assisted reproductive technologies (ARTs) that continually make front page news. Since the 1980 opening of the country’s 1st IVF clinic amidst protests and pickets, courts and legislatures have struggled to create laws and policies in response to continually evolving reproductive advances. Topics will include: the legal status of the IVF embryo in the context of procreative rights (highlighted by the currently changing and challenging legal context); embryo cryopreservation, storage, disposition and mix-ups; legal implications of advances in egg freezing, reproductive genetics and oncofertility; posthumous reproduction; egg and sperm donation; traditional/genetic and gestational surrogacy; unique issues for single and same-sex couples, including the impact of legally recognized same-sex marriage; and professional and regulatory aspects of the ARTs.
Two classes that will examine selected legal and policy aspects of comparative ART law perspectives on “third-party ART” and the impact these differences have on cross-border reproductive practices, with a particular focus on surrogacy.
National experts in their respective fields will provide guest lectures on: medical advances in ART; psychosocial aspects of donor egg and 3rd party ART;  reproductive genetics; and potentially other emerging developments. ",LAW 2028 v01,Assisted Reproductive Technologies and the Law,Limit: Varies by section,,"Note:
This seminar requires a paper. J.D. students must register for the 3 credit section of the seminar if they wish to write a paper fulfilling the Upperclass Legal Writing Requirement for JD students. The paper requirements of the 2 credit section will not fulfill the Upperclass Legal Writing Requirement for JD students.",,,Susan Crockin,https://www.law.georgetown.edu/faculty/?redirect=RzAwNTEyODE4,,,,,T 11:10am-1:10pm (1/16 to 4/27)
