"professor","Course.Name","Survey.Period","Svy.Rcv","Exp","X.","I.would.recommend.this.professor.to.other.students","When.I.sought.consultation.about.this.course..the.professor.was.available.outside.of.class.time","I.received.adequate.supervision.over.my.work.on.the.project","I.received.my.placement.in.a.timely.fashion","I.received.the.project.in.a.timely.fashion","In.the.course.of.working.on.my.clinic.projects..I.received.thorough.and.useful.supervision","My.experience.at.the.field.placement.was.positive","My.experience.in.the.field.work.component.enhanced.my.understanding.and.the.insights.I.gained.in.the","The.class.covered.meaningful.and.worthwhile.subject.matter.","The.class.improved.my.lawyering.skills","The.clinic.has.improved.my.ability.to.function.as.a.lawyer","The.clinic.projects.and.classroom.components.of.the.course.were.integrated.effectively","The.professor.adjusted.the.class.for.the.online.distance.learning.format","The.professor.s.feedback.on.my.project.work.was.helpful.in.revising.my.work","The.project.was.well.defined","The.readings.were.useful.and.well.integrated.into.the.course.and.or.provided.helpful.background.for","The.seminar.classes.enhanced.the.field.work.component","How.well.has.the.professor.adjusted.the.class.for.the.online.environment.","I.had.a.helpful.personal.consultation.with.the.professor.about.my.draft.paper","I.received.helpful.guidance.regarding.research.strategy.from.the.professor.and.or.from.a.guest.lectu","The.professor.adjusted.the.class.for.the.online.environment.","The.professor.challenged.students.to.think.critically","The.professor.created.a.learning.environment.that.was.hospitable.to.all.students","The.professor.provided.detailed.written.feedback.on.my.preliminary.draft.s..of.the.paper","The.professor.provided.timely.and.useful.comments.on.my.outline.or.other.preparatory.written.product","The.professor.taught.the.course.well","The.professor.s.feedback.on.the.preliminary.draft.s..was.will.be.helpful.in.revising.my.paper","n_courses"
"Abbott, Alisa","Intel Prop Lit: Pretrial Skill",202080,5.75,10,61.75,4.675,4.675,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,NA,3.625,NA,NA,NA,NA,NA,4.575,4.8,NA,NA,4.75,NA,4
"Abbott, Eduardo","Intl Law Sem: Poverty Reductio",202043.333,11.333,14.333,82,4.667,4.967,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.7,NA,NA,5,5,NA,4.767,4.933,5,5,4.767,5,3
"Abdoo, Katharine","Income Tax Accounting",201930,9.667,25,38.333,4.133,4.5,NA,NA,NA,NA,NA,NA,4.333,NA,NA,NA,NA,NA,NA,3.533,NA,NA,NA,NA,NA,4.4,4.667,NA,NA,4.067,NA,3
"Abernathy, Charles","Civil Procedure",201955,62.75,78,78,4.375,3.425,NA,NA,NA,NA,NA,NA,4.85,NA,NA,NA,NA,NA,NA,4.775,NA,NA,NA,NA,NA,4.9,3.9,NA,NA,4.625,NA,4
"Abernathy, Charles","Civil Rights",201880,20,26,77,4.8,4.4,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,NA,NA,5,4.55,NA,NA,4.85,NA,2
"Abernathy, Charles","Civil Rights Policy Seminar",202010,7.667,17.333,44.333,4.567,4.5,NA,NA,NA,NA,NA,NA,4.733,NA,NA,NA,NA,NA,NA,4.7,NA,NA,3.867,4.767,NA,5,4.367,4.433,4.5,4.733,4.6,3
"Abernathy, Charles","Foundations of American Law",201870,59.5,90.5,65.5,4.8,4.7,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.85,NA,NA,NA,NA,NA,4.9,4.6,NA,NA,4.85,NA,2
"Abraham, Heather","Civil Rights Clinic",201920,7,11,63.5,4.45,4.825,NA,NA,NA,4.3,NA,NA,4.75,NA,4.675,4,NA,NA,NA,3.975,NA,NA,NA,NA,NA,4.775,4.475,NA,NA,4.7,NA,4
"Abramoff, Azeka","Adv International Taxation",202110,4,14.5,28.5,4.05,4.5,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,4.25,NA,4.7,NA,NA,NA,4.25,4.8,NA,NA,4,NA,2
"Abramowitz, David","Human Trafficking & Modern Sla",202020,10,13,76.5,4.75,4.9,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,4.85,4.9,NA,NA,4.9,NA,2
"Abu-Odeh, Lama","Compar Law: Law/Soc Mid East",202030,8,23,35,4.7,4.4,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,4.8,4.8,NA,NA,4.5,NA,1
"Abu-Odeh, Lama","Conservative Jurisprudence Sem",202160,12.5,17.5,70,4.7,4.8,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.3,NA,NA,4.6,4.3,NA,4.85,4.85,4.3,4.8,4.7,4.4,2
"Abu-Odeh, Lama","Conservative Lgl & Pol Thought",202230,7,10,70,4.3,4.7,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,4,NA,NA,4.3,3.6,NA,4.7,4.4,3.8,4,4.4,3.9,1
"Abu-Odeh, Lama","Human Rts & Its Discontents",202110,6,10.667,61,4.667,4.7,NA,NA,NA,NA,NA,NA,4.967,NA,NA,NA,NA,NA,NA,4.933,NA,NA,4.433,3.867,NA,4.967,4.5,4.767,4.5,4.7,4.767,3
"Abu-Odeh, Lama","Law and Multiculturalism Sem",202123.333,8.667,16.333,54.667,4.067,4.8,NA,NA,NA,NA,NA,NA,4.633,NA,NA,NA,NA,NA,NA,4.267,NA,NA,4.533,4.067,NA,4.7,4.4,4.533,4.467,4.6,4.633,3
"Adawi, Jabeen","Domestic Violence Clinic",201920,10.5,12,87.5,4.525,4.925,NA,NA,NA,4.9,NA,NA,4.95,NA,4.975,4.9,NA,NA,NA,4.75,NA,NA,NA,NA,NA,4.675,4.85,NA,NA,4.5,NA,4
"Ahanchian, Amie","Global Indirect Tax",202080,5.5,9.75,49,4.925,4.775,NA,NA,NA,NA,NA,NA,4.85,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.625,4.925,NA,NA,4.925,NA,4
"Ahanchian, Amie","Global Indirect Tax: The VAT",201830,8,12,67,4.9,4.7,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.6,5,NA,NA,4.9,NA,1
"Ahmed, Usman","Fintech Law and Policy",202030,8,18.2,43.4,4.48,4.46,NA,NA,NA,NA,NA,NA,4.78,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.74,4.74,NA,NA,4.56,NA,5
"Ahmed, Usman","The Internet & Intl Trade Law",201910,11,14,79,4.1,4.6,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,4.3,4.2,NA,NA,4.1,NA,1
"Aiken, Jane","Evidence",201830,74,95,78,4.9,4.9,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,5,5,NA,NA,4.9,NA,1
"Aiken, Jane","Motherhood & the Law Seminar",201910,15,20,75,5,4.9,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.5,NA,NA,5,5,NA,4.7,5,5,5,4.8,5,1
"Akenzua, Efosa","Juvenile Justice Clinic",202210,9,12,75,5,5,NA,NA,NA,5,NA,NA,5,NA,5,5,NA,NA,NA,4.8,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Alayan, Kristina","Legal Research Skills for Prac",201970,9,13.5,76.5,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.7,5,NA,NA,4.9,NA,2
"Alayan, Kristina","Legal Research Skills for Practice",201820,7,12,58,4.9,4.7,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,4.6,4.9,NA,NA,4.7,NA,1
"Albert, Janet","Child Welfare Law & Practice",202130,4.667,7.667,58,4.933,4.867,NA,4.633,NA,NA,4.7,4.667,5,4.7,NA,NA,NA,NA,NA,4.2,4.767,NA,NA,NA,NA,4.833,5,NA,NA,4.767,NA,3
